Date,Open,High,Low,Close,Adj Close,Volume
4/1/2018,46.740002,47.200001,45.02,45.68,38.909557,227508000
5/1/2018,45.389999,46.580002,43.959999,44.610001,37.998154,251209700
6/1/2018,44.830002,45.830002,41.029999,42.200001,35.945351,314880100
7/1/2018,41.57,44.139999,41.419998,43.880001,37.6185,254999100
8/1/2018,43.52,43.740002,40.330002,42.040001,36.041065,307643400
9/1/2018,41.240002,41.93,39.470001,41,35.149475,263316400
10/1/2018,41.23,41.240002,36.349998,37.860001,32.832977,482818700
11/1/2018,38.459999,40.139999,37.84,39.689999,34.419991,394637000
12/1/2018,40.689999,40.75,37.18,38.099998,33.041092,576795900
1/1/2019,37.77,41.82,37.52,41.779999,36.481983,387257100
2/1/2019,41.560001,42.59,40.509998,41.619999,36.34227,302227000
3/1/2019,41.880001,43.439999,40.91,42.5,37.110683,322974200
4/1/2019,43.060001,44.189999,42.860001,43.41,37.979698,216423400
5/1/2019,43.5,43.830002,39.57,40.639999,35.556217,341793500
6/1/2019,40.849998,42.82,40.400002,42.529999,37.209785,259737700
7/1/2019,43.349998,43.43,41.32,41.759998,36.787918,221167300
8/1/2019,41.799999,42.099998,38.98,40.400002,35.589855,291080600
9/1/2019,40,42.279999,39.950001,40.259998,35.466507,261023800
10/1/2019,40.259998,42.349998,39.610001,41.849998,37.332405,293190200
11/1/2019,42.310001,43.389999,41.82,42.060001,37.519737,216157300
12/1/2019,42.16,44.759998,41.549999,44.470001,39.669582,214744600
1/1/2020,45.07,45.919998,41.77,42.009998,37.949715,295588400
2/1/2020,42.060001,44.369999,39.220001,40.52,36.603722,320852200
3/1/2020,40.5,41.970001,29.959999,33.549999,30.307381,868647500
4/1/2020,32.700001,36.889999,32.259998,36.169998,32.735161,455164100
5/1/2020,35.310001,37.490002,34.84,37.360001,33.812153,307305200
6/1/2020,37.740002,40.720001,37.650002,39.610001,35.848492,295833000
7/1/2020,39.959999,43.849998,39.950001,43.009998,39.092552,240815900
8/1/2020,43.189999,45.169998,43.09,44.189999,40.16507,193604200
9/1/2020,44.700001,45.110001,41.529999,43.240002,39.301601,268419000
10/1/2020,43.560001,45.43,42.93,43.810001,40.207909,236493400
11/1/2020,44.259998,48.860001,44,47.560001,43.649582,205471400
12/1/2020,48.43,50.490002,48.18,50.110001,45.989914,213301000
1/1/2021,50.900002,54.560001,50.209999,51.68,47.717922,251807500
2/1/2021,52.75,56.66,52.23,52.490002,48.465824,171865100
3/1/2021,53.599998,54.040001,50.32,52.049999,48.059551,306738500
4/1/2021,52.799999,54.18,51.599998,52.98,48.981327,170662200
5/1/2021,52.919998,53.98,50.689999,53.880001,49.813396,157752800
6/1/2021,55.099998,55.16,53.009998,54.310001,50.210949,179212600
7/1/2021,54.310001,54.41,49.27,51.110001,47.50032,198987900
8/1/2021,51.560001,52.349998,48.900002,52.23,48.541218,214416000
9/1/2021,52.509998,53.450001,49.16,50.009998,46.478012,257480300
10/1/2021,50.099998,52.419998,49.049999,50.66,47.518963,194664000
11/1/2021,50.700001,52.209999,48.720001,49.189999,46.14011,226686700
12/1/2021,49.82,50.48,47.490002,49.459999,46.393372,377591300
1/1/2022,49.669998,51.259998,47.540001,49.669998,47.049698,369018900
2/1/2022,49.849998,50.990002,46.150002,47.82,45.297291,306250700
3/1/2022,47.509998,47.91,41.970001,46.130001,43.696449,518881200
4/1/2022,47.07,47.919998,42.240002,43.439999,41.267269,400359000
5/1/2022,43.23,44.169998,40.02,43.639999,41.457272,412431300
6/1/2022,43.860001,44.290001,40.939999,41.650002,39.566811,288086400
7/1/2022,41.220001,41.779999,39.57,41.32,39.54525,276561400
8/1/2022,41.029999,42.700001,40.59,41.130001,39.363411,229911900
9/1/2022,40.880001,41.66,36.209999,36.490002,34.922707,319784900
10/1/2022,36.779999,38.279999,34.880001,35.450001,34.385906,344915300
11/1/2022,36.299999,40.650002,35.57,40.52,39.303726,299450100
12/1/2022,40.619999,40.919998,38.529999,38.98,37.809952,322335300
1/1/2023,39.48,43.220001,39.290001,42.23,41.631493,237557100
2/1/2023,42.349998,42.790001,39.310001,39.419998,38.86132,222358100
3/1/2023,40.310001,40.830002,38.110001,40.400002,39.827427,233296600
4/1/2023,40.439999,40.950001,39.18,40.240002,39.698391,151965600
5/1/2023,40.080002,40.630001,38.73,39.049999,38.524406,291816500
6/1/2023,39.130001,42.150002,39.110001,40.68,40.132469,186753000
7/1/2023,41.099998,43.099998,39.959999,43.07,42.721531,149628100
8/1/2023,42.650002,42.700001,39.630001,40.529999,40.20208,202935200
9/1/2023,41.07,41.16,38.869999,39.209999,38.892757,185391300
10/1/2023,39.209999,39.77,37.459999,37.939999,37.939999,241695700
