Date,Open,High,Low,Close,Adj Close,Volume
2009-03-01,20.620001,26.480000,19.860001,24.809999,18.530676,1894751100
2009-04-01,24.799999,29.030001,24.719999,28.670000,21.413725,1412067800
2009-05-01,28.709999,33.410000,28.580000,33.240002,24.827072,1361219200
2009-06-01,34.259998,34.889999,30.120001,32.230000,24.072689,1645537100
2009-07-01,32.919998,36.049999,30.250000,35.779999,26.941679,1515244200
2009-08-01,36.740002,37.189999,34.130001,35.310001,26.587778,1360308400
2009-09-01,35.400002,42.000000,34.610001,38.910000,29.298506,1422874600
2009-10-01,38.810001,41.599998,37.299999,37.570000,28.289522,1871341300
2009-11-01,38.130001,42.240002,37.400002,40.520000,30.510815,1605536500
2009-12-01,41.340000,42.520000,40.000000,41.500000,31.248730,1226346600
2010-01-01,42.180000,43.470001,35.810001,38.279999,29.065401,1418832000
2010-02-01,38.639999,39.860001,36.180000,38.959999,29.581701,1628504600
2010-03-01,39.430000,42.250000,39.330002,42.119999,31.981045,1426758200
2010-04-01,42.740002,46.660000,41.290001,42.049999,31.927898,1427357000
2010-05-01,42.189999,42.419998,35.209999,38.099998,28.928730,2634989800
2010-06-01,37.709999,41.130001,36.580002,37.320000,28.336483,1864910400
2010-07-01,37.500000,41.709999,36.759998,41.400002,31.642504,1365081700
2010-08-01,42.180000,42.590000,39.310001,40.060001,30.618328,1251966800
2010-09-01,40.790001,44.990002,40.759998,44.770000,34.218227,1062090300
2010-10-01,45.250000,47.029999,45.080002,46.119999,35.250050,1227320300
2010-11-01,46.590000,48.619999,44.509998,44.779999,34.225876,1431119900
2010-12-01,45.900002,47.680000,45.750000,47.639999,36.411816,1050605700
2011-01-01,48.029999,48.320000,45.250000,45.810001,35.306366,1322979900
2011-02-01,46.209999,47.139999,44.360001,45.790001,35.290951,1483168700
2011-03-01,46.090000,48.750000,44.250000,48.669998,37.510612,1478945000
2011-04-01,49.240002,50.299999,47.560001,50.000000,38.535645,1103908300
2011-05-01,50.240002,50.430000,45.770000,48.529999,37.402695,1305000400
2011-06-01,48.430000,48.560001,44.770000,47.599998,36.685936,1129209600
2011-07-01,47.580002,48.630001,45.799999,47.110001,36.671387,905415500
2011-08-01,47.669998,47.689999,38.709999,42.750000,33.277470,1995210200
2011-09-01,42.869999,43.270000,34.709999,35.099998,27.322552,1680266600
2011-10-01,35.070000,43.220001,33.419998,40.810001,31.767334,1758602200
2011-11-01,39.290001,42.080002,36.099998,40.009998,31.144606,1327208700
2011-12-01,40.029999,40.590000,36.480000,37.939999,29.533276,1148938100
2012-01-01,38.980000,42.759998,38.200001,42.110001,33.093468,1131973200
2012-02-01,42.750000,44.910000,42.669998,44.330002,34.838123,1035134400
2012-03-01,44.480000,44.869999,41.910000,42.950001,33.753609,1083985400
2012-04-01,42.900002,43.849998,41.070000,42.220001,33.179905,1028875700
2012-05-01,42.250000,42.880001,36.689999,37.700001,29.627735,1346885600
2012-06-01,36.930000,39.950001,36.570000,39.130001,30.751545,1059044700
2012-07-01,39.060001,39.919998,37.150002,39.119999,31.111647,900960400
2012-08-01,39.540001,40.840000,38.439999,39.279999,31.238882,839253100
2012-09-01,39.299999,42.840000,38.680000,41.330002,32.869232,908031500
2012-10-01,41.689999,42.360001,40.820000,41.150002,32.726074,942787300
2012-11-01,41.540001,42.259998,39.919998,41.790001,33.235058,1118684600
2012-12-01,42.049999,44.419998,41.770000,44.349998,35.270985,964691100
2013-01-01,44.910000,45.330002,43.709999,44.220001,35.392189,1070645200
2013-02-01,44.470001,44.639999,42.590000,43.209999,34.583828,942010700
2013-03-01,43.070000,44.230000,41.720001,42.770000,34.231667,1056145500
2013-04-01,42.720001,43.410000,40.759998,43.290001,34.647854,1324098000
2013-05-01,43.220001,44.270000,41.139999,41.200001,32.975090,1203328900
